"InfHuman_values","S_v_loop","E_v_loop","I_v_loop","V_loop","Prev_loop","Pos_loop"
0.85,148571.680402075,44556.5735089249,41338.5432896416,234466.797200642,0.176308730204843,0.366342347078947
0.86,148087.687271827,44935.2937496118,41690.9047433448,234713.885764784,0.177624364265883,0.36907146848469
0.87,147620.023611732,45315.6284099808,42044.7764112774,234980.42843299,0.178928843953774,0.371777366327217
0.88,147153.050595728,45692.8943346885,42395.8131262886,235241.758056705,0.180222310343681,0.374460334715502
0.89,146719.709859238,46077.4437693271,42753.6199650334,235550.773593599,0.181504901524107,0.377120662263767
0.9,146227.827310727,46440.3599186491,43091.3664233844,235759.553652761,0.18277675604549,0.379758635248778
0.91,145782.272263084,46814.6972493027,43439.7217329318,236036.691245319,0.184038004870115,0.382374530442943
0.92,145317.449668711,47179.6507631472,43779.3816061173,236276.482037975,0.185288782144136,0.384968624827608
0.93,144859.946702025,47543.7414876406,44118.2519922842,236521.94018195,0.186529215675912,0.387541187127975
0.94,144410.342395686,47907.2388770476,44456.5830942516,236774.164366985,0.187759434029072,0.390092484195789
0.95,143962.572154197,48268.1930339371,44792.5651927451,237023.330380879,0.188979562141696,0.392622777163499
0.96,143530.672144737,48631.378810683,45130.6291426331,237292.680098053,0.190189723189036,0.395132323148663
0.97,143076.083945894,48983.7634495775,45458.6803187067,237518.527714178,0.191390039152694,0.397621375802452
0.98,142639.701886135,49339.2510567376,45789.6217149589,237768.574657831,0.192580629214159,0.400090183947121
0.99,142206.413219603,49692.753558133,46118.7311828302,238017.897960566,0.193761610273825,0.402538992075448
1,141767.382886693,50041.1846020911,46443.1441289305,238251.711617714,0.194933097494177,0.404968040212173
