"InfHuman_values","S_v_loop","E_v_loop","I_v_loop","V_loop","Prev_loop","Pos_loop"
0.28,165003.071521503,15717.0081556627,13905.3104824177,194625.390159584,0.0714465387636012,0.152201717431582
0.29,164389.013755831,16218.5055951685,14349.5877795243,194957.107130524,0.0736038197874841,0.156793942137372
0.3,163780.324983293,16716.4152375345,14790.7236040037,195287.463824831,0.0757382133718049,0.161337231916737
0.31,163176.144532834,17210.7002672032,15228.6847248944,195615.529524932,0.0778500805221267,0.165832360400421
0.32,162577.017510405,17701.4652188321,15663.5629902352,195942.045719472,0.0799397747059381,0.170280085045329
0.33,162033.769166545,18194.4679375024,16100.4529366403,196328.690040687,0.0820076420481574,0.174681147554315
0.34,161389.47107625,18672.1228414385,16523.7922823117,196585.386200001,0.0840540215207088,0.179036274283088
0.35,160802.411173533,19152.2486841853,16949.3483924543,196904.008250173,0.0860792451259785,0.183346176634309
0.36,160224.901344696,19629.5874568478,17372.467870098,197226.956671642,0.0880836380749967,0.187611551439946
0.37,159644.044842836,20102.612006826,17791.7985797084,197538.45542937,0.0900675189599719,0.191833081331769
0.38,159069.598601715,20572.5491562251,18208.4256785433,197850.573436483,0.0920311999216357,0.196011435100634
0.39,158537.37425582,21044.2172827874,18626.6134497234,198208.204988331,0.0939749868115699,0.200147268044964
0.4,157931.13943211,21502.2224983512,19032.7359118007,198466.097842262,0.0958991793496521,0.204241222308752
0.41,157372.54920955,21962.7850379238,19441.1493720617,198776.483619536,0.0978040712767244,0.208293927209387
0.42,156808.868105389,22418.8519558958,19845.6104667858,199073.330528071,0.0996899505028747,0.212305999555888
0.43,156252.925694034,22872.2483918588,20247.734238723,199372.908324615,0.101557099251198,0.21627804395758
0.44,155733.593806614,23327.3774866832,20651.4182519765,199712.389545274,0.103405794197335,0.220210653123701
0.45,155155.016759293,23769.9279153725,21043.9923703731,199968.937045039,0.105236306605127,0.224104408154414
0.46,154611.640170561,24214.0840322142,21438.0133019961,200263.737504771,0.107048902457867,0.227959878822908
0.47,154072.056229536,24655.1793430774,21829.3493600562,200556.58493267,0.108843842586294,0.231777623849844
0.48,153538.698602217,25093.6496985476,22218.385958666,200850.734259431,0.110621382792494,0.235558191169481
0.49,153003.787755506,25528.2601317686,22604.0291465071,201136.077033782,0.112381773970418,0.239302118188333
0.5,152474.901508139,25960.2842459774,22987.4061146323,201422.591868748,0.114125262222876,0.243009932036348
0.51,151951.258370155,26389.6473071035,23368.4502500281,201709.355927286,0.115852088975248,0.246682149810982
0.52,151428.213003959,26815.5797017964,23746.4795857218,201990.272291477,0.117562491085982,0.250319278814358
